Time,Press,Temp,Rain,WDir,Humid,SolRad
2017-08-29T00:00:00,1014.93,23.92,0,248.9,90.8,0
2017-08-29T00:10:00,1014.93,23.84,0,250.3,91.5,0
2017-08-29T00:20:00,1014.93,23.32,0,35.6,90.3,0
2017-08-29T00:30:00,1014.93,23.07,0,30.5,85.6,0
2017-08-29T00:40:00,1014.93,23.36,0,18.1,82.1,0
2017-08-29T00:50:00,1014.93,23.35,0,17.4,82.5,0
2017-08-29T01:00:00,1014.93,23.29,0,1.5,83.7,0
2017-08-29T01:10:00,1014.93,23.36,0,6.7,84.3,0
2017-08-29T01:20:00,1014.93,23.46,0,5.6,83.2,0
2017-08-29T01:30:00,1014.93,23.51,0,16.7,82.2,0
2017-08-29T01:40:00,1014.93,23.68,0,3.8,80.6,0
2017-08-29T01:50:00,1014.93,23.74,0,23.3,79.8,0
2017-08-29T02:00:00,1014.93,23.65,0,354.8,79.7,0
2017-08-29T02:10:00,1014.93,23.76,0,346.5,77.8,0
2017-08-29T02:20:00,1014.93,23.93,0,354.4,74.4,0
2017-08-29T02:30:00,1014.93,24.08,0,351.6,70.7,0
2017-08-29T02:40:00,1014.93,24.12,0,330.6,70.8,0
2017-08-29T02:50:00,1014.93,23.55,0,344,75.4,0
2017-08-29T03:00:00,1014.93,23.66,0,346.3,73.1,0
2017-08-29T03:10:00,1014.93,23.73,0,339.2,71.9,0
2017-08-29T03:20:00,1014.93,23.51,0,334.3,73.3,0
2017-08-29T03:30:00,1014.93,23.52,0,333.4,72.1,0
2017-08-29T03:40:00,1014.93,23.67,0,333,70.6,0
2017-08-29T03:50:00,1014.93,23.44,0,332.7,72.9,0
2017-08-29T04:00:00,1014.93,23.13,0,332.7,74.2,0
2017-08-29T04:10:00,1014.93,23.21,0,332.6,72.8,0
2017-08-29T04:20:00,1014.93,23.16,0,343.2,72.7,0
2017-08-29T04:30:00,1014.93,23.04,0,9.5,72.6,2.79
2017-08-29T04:40:00,1014.93,23.13,0,23.3,71.3,2.026
2017-08-29T04:50:00,1014.93,23,0,25.5,71.5,5.158
2017-08-29T05:00:00,1014.93,23.19,0,18.9,69.71,14.45
2017-08-29T05:10:00,1014.93,23.21,0,23.5,69.02,25.64
2017-08-29T05:20:00,1014.93,22.99,0,23.1,69.87,39.53
2017-08-29T05:30:00,1014.93,22.92,0,38.7,69.64,55.57
2017-08-29T05:40:00,1014.93,22.88,0,32.3,69.9,73.6
2017-08-29T05:50:00,1014.93,23.1,0,11.6,68.79,94.5
2017-08-29T06:00:00,1014.93,23.07,0,359.9,68.59,118.3
2017-08-29T06:10:00,1014.93,23.23,0,34.3,67.45,143.5
2017-08-29T06:20:00,1014.93,23.35,0,27.6,66.74,170.9
2017-08-29T06:30:00,1014.93,23.71,0,17.7,64.89,198.7
2017-08-29T06:40:00,1014.93,23.99,0,22.9,63.54,225.7
2017-08-29T06:50:00,1014.93,24.11,0,346.5,62.82,253.3
2017-08-29T07:00:00,1014.93,24.34,0,0.4,62.29,283.3
2017-08-29T07:10:00,1014.93,24.71,0,40.3,60.69,314.6
2017-08-29T07:20:00,1014.93,25.1,0,341.4,59.69,344.2
2017-08-29T07:30:00,1014.93,25.28,0,349.8,59.39,372.6
2017-08-29T07:40:00,1015.93,25.59,0,312.7,60.46,401.5
2017-08-29T07:50:00,1014.93,25.75,0,358.5,60.27,430.5
2017-08-29T08:00:00,1014.93,26.47,0,6.1,56.13,457.5
2017-08-29T08:10:00,1014.93,26.96,0,278.9,56.49,482.6
2017-08-29T08:20:00,1014.93,26.71,0,280.6,58.04,508.1
2017-08-29T08:30:00,1014.93,26.76,0,291.8,56.84,530
2017-08-29T08:40:00,1014.93,26.81,0,249.7,57.79,553.3
2017-08-29T08:50:00,1015.93,26.8,0,222.5,58.95,578.5
2017-08-29T09:00:00,1015.93,27.4,0,204.5,53.54,599.6
2017-08-29T09:10:00,1015.93,27.24,0,173.1,59.25,625.5
2017-08-29T09:20:00,1015.93,26.89,0,167.9,60.48,647.1
2017-08-29T09:30:00,1015.93,27.06,0,172.8,57.46,665.1
2017-08-29T09:40:00,1015.93,27.29,0,167.1,54.52,683.7
2017-08-29T09:50:00,1015.93,28.01,0,195.5,49.96,696.2
2017-08-29T10:00:00,1015.93,27.57,0,166.4,61.12,711
2017-08-29T10:10:00,1015.93,27.21,0,156.2,68.86,729
2017-08-29T10:20:00,1015.93,27.31,0,160.3,67.26,743
2017-08-29T10:30:00,1015.93,27.25,0,165.4,67.39,754
2017-08-29T10:40:00,1015.93,27.29,0,165.1,68.27,763
2017-08-29T10:50:00,1015.93,27.44,0,162.4,68.43,769
2017-08-29T11:00:00,1014.93,26.99,0,171.6,68.38,779
2017-08-29T11:10:00,1014.93,27.07,0,170.1,69.2,783
2017-08-29T11:20:00,1014.93,27.49,0,171.6,65.41,783
2017-08-29T11:30:00,1014.93,27.72,0,171.6,64.32,782
2017-08-29T11:40:00,1014.93,27.64,0,170.6,63.98,784
2017-08-29T11:50:00,1014.93,28.13,0,195,56.41,784
2017-08-29T12:00:00,1014.93,28.63,0,191.2,52.21,777
2017-08-29T12:10:00,1014.93,29.64,0,200.6,49.34,771
2017-08-29T12:20:00,1014.93,28.97,0,161.1,52.58,763
2017-08-29T12:30:00,1014.93,28.73,0,173.8,54.01,759
2017-08-29T12:40:00,1014.93,28.75,0,173.3,53.19,755
2017-08-29T12:50:00,1014.93,29.47,0,198.6,47.91,749
2017-08-29T13:00:00,1014.93,29.94,0,207.5,45.08,738
2017-08-29T13:10:00,1014.93,30.03,0,225.8,46.05,726
2017-08-29T13:20:00,1014.93,30.22,0,188.2,46.41,709
2017-08-29T13:30:00,1014.93,29.6,0,175.7,46.23,695.3
2017-08-29T13:40:00,1014.93,29.57,0,170.3,42.76,678.6
2017-08-29T13:50:00,1013.93,29.89,0,213.6,47.19,654.9
2017-08-29T14:00:00,1013.93,30.43,0,237.5,40.67,632.3
2017-08-29T14:10:00,1013.93,30.39,0,237.3,34.55,614.6
2017-08-29T14:20:00,1013.93,30.91,0,221.4,35.71,591.2
2017-08-29T14:30:00,1013.93,31.42,0,228.7,38.61,560.4
2017-08-29T14:40:00,1013.93,30.55,0,247.1,32.46,536.4
2017-08-29T14:50:00,1013.93,30.81,0,235.3,33.4,513.2
2017-08-29T15:00:00,1013.93,30.95,0,232.8,32.62,487.1
2017-08-29T15:10:00,1013.93,30.99,0,241.3,31.51,460.6
2017-08-29T15:20:00,1013.93,30.78,0,226.9,38.01,431.5
2017-08-29T15:30:00,1013.93,30.59,0,258.5,31.72,400.8
2017-08-29T15:40:00,1013.93,30.76,0,238.5,35.32,370.5
2017-08-29T15:50:00,1013.93,30.51,0,230.8,38.66,336.7
2017-08-29T16:00:00,1013.93,30.48,0,246,39.32,306.3
2017-08-29T16:10:00,1013.93,30.39,0,231.7,40.85,278.2
2017-08-29T16:20:00,1013.93,29.55,0,161.3,46.75,247.9
2017-08-29T16:30:00,1013.93,29.25,0,143.7,37.07,214.8
2017-08-29T16:40:00,1013.93,28.88,0,154,41.79,183.7
2017-08-29T16:50:00,1013.93,28.52,0,152.4,41.65,155
2017-08-29T17:00:00,1013.93,28.79,0,147.2,38.31,127.8
2017-08-29T17:10:00,1012.93,28.92,0,137.3,37.33,102.5
2017-08-29T17:20:00,1013.93,28.78,0,154.2,37.52,77.8
2017-08-29T17:30:00,1013.93,28.65,0,155.1,37.2,54.67
2017-08-29T17:40:00,1013.93,28.35,0,134.1,39.47,31.68
2017-08-29T17:50:00,1013.93,28.55,0,95.6,36.14,15.61
2017-08-29T18:00:00,1013.93,28.66,0,78,35.39,5.202
2017-08-29T18:10:00,1013.93,28.83,0,87.7,34.12,1.155
2017-08-29T18:20:00,1013.93,28.92,0,121.8,33.5,0.209
2017-08-29T18:30:00,1013.93,28.91,0,103.7,33.17,0
2017-08-29T18:40:00,1013.93,28.86,0,89,32.99,0
2017-08-29T18:50:00,1013.93,29.17,0,41,32.42,0
2017-08-29T19:00:00,1013.93,29.33,0,31,32.47,0
2017-08-29T19:10:00,1013.93,29.31,0,14.1,33.77,0
2017-08-29T19:20:00,1013.93,29.34,0,357.7,33.83,0
2017-08-29T19:30:00,1013.93,29.23,0,28.6,34.71,0
2017-08-29T19:40:00,1013.93,29.04,0,16.9,34.59,0
2017-08-29T19:50:00,1013.93,27.58,0,331.2,44.77,0
2017-08-29T20:00:00,1013.93,27.67,0,8.8,38,0
2017-08-29T20:10:00,1013.93,28.19,0,23.7,34.9,0
2017-08-29T20:20:00,1013.93,28.03,0,24.4,35.3,0
2017-08-29T20:30:00,1013.93,27.82,0,25.4,35.81,0
2017-08-29T20:40:00,1013.93,27.85,0,14.7,35.8,0
2017-08-29T20:50:00,1013.93,27.48,0,27.1,36.89,0
2017-08-29T21:00:00,1013.93,27.28,0,33,37.91,0
2017-08-29T21:10:00,1013.93,27.15,0,1.7,39.32,0
2017-08-29T21:20:00,1013.93,27,0,354.6,40.03,0
2017-08-29T21:30:00,1014.93,26.94,0,0.8,40.16,0
2017-08-29T21:40:00,1014.93,27.01,0,11,39.83,0
2017-08-29T21:50:00,1014.93,26.86,0,21.3,40.2,0
2017-08-29T22:00:00,1014.93,26.65,0,13.1,40.88,0
2017-08-29T22:10:00,1014.93,26.62,0,17.1,41.22,0
2017-08-29T22:20:00,1014.93,26.64,0,16.9,41.41,0
2017-08-29T22:30:00,1014.93,26.74,0,16.4,41.16,0
2017-08-29T22:40:00,1014.93,26.57,0,26.9,41.51,0
2017-08-29T22:50:00,1014.93,26.32,0,32,42.06,0
2017-08-29T23:00:00,1014.93,26.35,0,33,41.92,0
2017-08-29T23:10:00,1014.93,26.62,0,33.3,41.09,0
2017-08-29T23:20:00,1014.93,26.52,0,31.7,41.71,0
2017-08-29T23:30:00,1014.93,26.16,0,14.6,43.24,0
2017-08-29T23:40:00,1014.93,26.06,0,57,44.06,0
2017-08-29T23:50:00,1014.93,25.65,0,39.8,45.14,0
2017-08-30T00:00:00,1014.93,25.31,0,40.2,45.63,0
2017-08-30T00:10:00,1014.93,25.08,0,35,46.16,0
2017-08-30T00:20:00,1014.93,24.74,0,37.3,46.93,0
2017-08-30T00:30:00,1014.93,24.66,0,37.9,46.99,0
2017-08-30T00:40:00,1014.93,24.6,0,36.5,47.35,0
2017-08-30T00:50:00,1014.93,24.34,0,37.3,47.94,0
2017-08-30T01:00:00,1014.93,24.54,0,46.7,47.04,0
2017-08-30T01:10:00,1014.93,24.75,0,46,46.43,0
2017-08-30T01:20:00,1014.93,25.03,0,41.2,45.69,0
2017-08-30T01:30:00,1014.93,25.19,0,43.7,45.45,0
2017-08-30T01:40:00,1014.93,25.1,0,86.1,46.17,0
2017-08-30T01:50:00,1014.93,25,0,29.2,47.02,0
2017-08-30T02:00:00,1014.93,24.81,0,43.9,47.7,0
2017-08-30T02:10:00,1014.93,24.81,0,44.7,47.9,0
2017-08-30T02:20:00,1014.93,24.9,0,30.1,47.71,0
2017-08-30T02:30:00,1014.93,24.81,0,21.9,48.02,0
2017-08-30T02:40:00,1014.93,24.85,0,208.7,47.99,0
2017-08-30T02:50:00,1014.93,24.91,0,226.4,48.09,0
2017-08-30T03:00:00,1014.93,24.82,0,240.9,48.29,0
2017-08-30T03:10:00,1014.93,24.88,0,7.1,47.96,0
2017-08-30T03:20:00,1014.93,24.78,0,18.4,48.29,0
2017-08-30T03:30:00,1014.93,24.68,0,22.7,48.78,0
2017-08-30T03:40:00,1014.93,24.47,0,65.5,49.39,0
2017-08-30T03:50:00,1014.93,24.35,0,83.8,50.18,0
2017-08-30T04:00:00,1014.93,24.18,0,39.3,50.81,0
2017-08-30T04:10:00,1014.93,24.11,0,37.5,50.96,0
2017-08-30T04:20:00,1014.93,23.97,0,44.3,51.22,0.091
2017-08-30T04:30:00,1014.93,23.97,0,55.4,51.25,2.743
2017-08-30T04:40:00,1014.93,23.88,0,21.1,51.48,4.422
2017-08-30T04:50:00,1014.93,23.8,0,6.9,51.7,8.72
2017-08-30T05:00:00,1014.93,23.74,0,25.1,51.54,20.1
2017-08-30T05:10:00,1014.93,23.83,0,16.9,51.44,30.49
2017-08-30T05:20:00,1015.93,23.62,0,353.9,53.03,44.41
2017-08-30T05:30:00,1015.93,23.48,0,355.4,53.54,60.29
2017-08-30T05:40:00,1015.93,23.59,0,0.6,53.47,76.6
2017-08-30T05:50:00,1015.93,24.07,0,6.3,51.29,97.5
2017-08-30T06:00:00,1015.93,24.36,0,12.7,50.89,119.6
2017-08-30T06:10:00,1015.93,24.33,0,6,51.52,144.8
2017-08-30T06:20:00,1015.93,24.3,0,36.8,51.36,170.6
2017-08-30T06:30:00,1015.93,24.48,0,36.9,50.76,198.9
2017-08-30T06:40:00,1015.93,24.6,0,3.1,51,229.3
2017-08-30T06:50:00,1015.93,24.72,0,332.5,50.87,257.6
2017-08-30T07:00:00,1015.93,25.08,0,342.8,50.05,284.7
2017-08-30T07:10:00,1015.93,25.49,0,335.5,48.78,318.4
2017-08-30T07:20:00,1015.93,25.85,0,336.3,48.07,346.1
2017-08-30T07:30:00,1015.93,26.23,0,342.3,46.97,378.6
2017-08-30T07:40:00,1015.93,26.47,0,355.4,46.18,407.4
2017-08-30T07:50:00,1015.93,26.8,0,353.5,45.8,436.2
2017-08-30T08:00:00,1015.93,26.88,0,325.2,48.06,457.8
2017-08-30T08:10:00,1015.93,27.03,0,318.4,47.48,485.2
2017-08-30T08:20:00,1015.93,27.27,0,318.1,46.79,512.3
2017-08-30T08:30:00,1015.93,27.34,0,315.3,46.28,537.2
2017-08-30T08:40:00,1015.93,27.78,0,306.4,43.28,565.4
2017-08-30T08:50:00,1015.93,28.09,0,310.9,42.15,590.5
2017-08-30T09:00:00,1015.93,28.55,0,209.1,44.85,616.2
2017-08-30T09:10:00,1015.93,27.58,0,169.1,55.91,643.2
2017-08-30T09:20:00,1015.93,27.54,0,168,52.31,650.6
2017-08-30T09:30:00,1015.93,27.36,0,169.5,56.11,691.5
2017-08-30T09:40:00,1015.93,26.67,0,173.9,62.54,652.9
2017-08-30T09:50:00,1015.93,26.78,0,171.8,55.9,699
2017-08-30T10:00:00,1015.93,27.42,0,172.6,52.29,675.1
2017-08-30T10:10:00,1015.93,27.6,0,170.4,60.31,748
2017-08-30T10:20:00,1015.93,27.37,0,169.9,64.23,724
2017-08-30T10:30:00,1015.93,27.84,0,172.8,63.35,759
2017-08-30T10:40:00,1015.93,28.24,0,177.2,63.52,741
2017-08-30T10:50:00,1015.93,27.45,0,169.9,65.72,681.6
2017-08-30T11:00:00,1015.93,27.68,0,178.2,52.68,587.2
2017-08-30T11:10:00,1015.93,28.11,0,171.5,52.16,731
2017-08-30T11:20:00,1015.93,28.18,0,168.2,56.18,727
2017-08-30T11:30:00,1015.93,28.27,0,190,55.7,810
2017-08-30T11:40:00,1015.93,28.13,0,180.4,58.77,796
2017-08-30T11:50:00,1015.93,27.1,0,178.8,68.33,795
2017-08-30T12:00:00,1015.93,27.82,0,179.4,64.73,793
2017-08-30T12:10:00,1015.93,27.29,0,176.6,68.08,784
2017-08-30T12:20:00,1015.93,27.31,0,191.8,62.6,774
2017-08-30T12:30:00,1015.93,28.19,0,204.4,50.69,765
2017-08-30T12:40:00,1015.93,28.63,0,204.5,45.7,753
2017-08-30T12:50:00,1015.93,28.63,0,198,43.74,742
2017-08-30T13:00:00,1015.93,28.43,0,199.1,50.04,729
2017-08-30T13:10:00,1015.93,28.8,0,211.9,49.16,711
2017-08-30T13:20:00,1015.93,28.38,0,197.6,52.81,695.8
2017-08-30T13:30:00,1015.93,28.17,0,161.5,57.8,677.9
2017-08-30T13:40:00,1014.93,28.04,0,167.8,56,666
2017-08-30T13:50:00,1014.93,27.6,0,178.4,56.69,646.7
2017-08-30T14:00:00,1014.93,27.36,0,174.1,57.44,617.2
