Name;DEIMS.ID;Country;Coordinates
"Afon Hafren";2f115521-9450-4c11-ad7c-b6f10367d232;"United Kingdom";"POINT (-3.70487 52.4749)"
"Aiguestortes / Lleida (ES-SNE)";cf8247a0-e3d7-499f-84a9-3b2d1215fe06;Spain;"POINT (0.933 42.616)"
"Alice Holt";d47ec839-5d20-4315-9f88-1e9edbab22e8;"United Kingdom";"POINT (-0.85 51.1833)"
"Alice Holt";d47ec839-5d20-4315-9f88-1e9edbab22e8;"United Kingdom";"POINT (-0.85 51.1833)"
Alptal;9e1c8ec8-a407-426a-8410-05180b96e75a;Switzerland;"POINT (8.7125782 47.0486366)"
Alptal;9e1c8ec8-a407-426a-8410-05180b96e75a;Switzerland;"POINT (8.7125782 47.0486366)"
"Aneboda, IM-site SE14";9dd45aa6-ed7a-49d2-bea4-7750351c55d0;Sweden;"POINT (14.554 57.105)"
"Aneboda, IM-site SE14";9dd45aa6-ed7a-49d2-bea4-7750351c55d0;Sweden;"POINT (14.554 57.105)"
"Augustendorf intensive forest monitoring site";bb3f045e-33fe-48ca-9142-1d6b94fb8f9a;Germany;"POINT (7.8591667 52.907778)"
Baelen;5322912e-bd69-4cda-91b7-e7a9e45c782a;Belgium;"POINT (6.106944 50.585)"
Beatenberg;f6a6b3e0-9a39-4fe3-8ae5-24d833b8ad26;Switzerland;"POINT (7.7623374 46.7003438)"
Beatenberg;f6a6b3e0-9a39-4fe3-8ae5-24d833b8ad26;Switzerland;"POINT (7.7623374 46.7003438)"
Beidweiler;a2f7cbab-8f25-4029-b0da-7e3d400696ce;Luxembourg;"POINT (6.30528 49.72237)"
Bettlachstock;c30ed2e5-41b0-4f2b-992c-2bd96b3cdba1;Switzerland;"POINT (7.4166536 47.2251551)"
Bettlachstock;c30ed2e5-41b0-4f2b-992c-2bd96b3cdba1;Switzerland;"POINT (7.4166536 47.2251551)"
Birkenes;68af6e55-e241-4afe-a3a6-32e79eef12fb;Norway;"POINT (8.1918 58.4389)"
Birkenes;68af6e55-e241-4afe-a3a6-32e79eef12fb;Norway;"POINT (8.1918 58.4389)"
"Blue Lough";f354fb61-e42f-457c-b4c7-1c2513dfa7dd;"United Kingdom";"POINT (-5.96875 54.1585)"
